file,time_in_seconds,kern timing,cplex timing,finished,solution_size_verified
random/000002_000000000002.input,0.10s,0,7.152557373046875,2.1457672119140625,1,correct
random/000002_000000000006.input,0.10s,1,3.0040740966796875,1.430511474609375,1,correct
random/000002_000000000012.input,0.09s,2,4.267692565917969,1.430511474609375,1,correct
random/000002_000000000020.input,0.09s,2,6.29425048828125,1.2636184692382812,1,correct
random/000004_000000000004.input,0.10s,0,7.152557373046875,1.6689300537109375,1,correct
random/000004_000000000012.input,0.10s,4,4.029273986816406,1.4066696166992188,1,correct
random/000004_000000000024.input,0.09s,4,0.00011873245239257812,1.9311904907226562,1,correct
random/000004_000000000040.input,0.09s,4,0.00010204315185546875,1.4543533325195312,1,correct
random/000006_000000000007.input,0.10s,1,2.1219253540039062,1.33514404296875,1,correct
random/000006_000000000018.input,0.09s,4,5.173683166503906,1.7881393432617188,1,correct
random/000006_000000000036.input,0.10s,4,8.821487426757812,1.7881393432617188,1,correct
random/000006_000000000060.input,0.10s,5,0.0001361370086669922,1.5735626220703125,1,correct
random/000008_000000000009.input,0.10s,1,4.410743713378906,2.5987625122070312,1,correct
random/000008_000000000024.input,0.09s,5,5.936622619628906,1.5735626220703125,1,correct
random/000008_000000000048.input,0.09s,7,0.00011205673217773438,1.7642974853515625,1,correct
random/000008_000000000080.input,0.10s,7,0.00017976760864257812,1.7642974853515625,1,correct
random/000010_000000000012.input,0.10s,2,2.574920654296875,1.5020370483398438,1,correct
random/000010_000000000030.input,0.09s,8,7.677078247070312,1.8596649169921875,1,correct
random/000010_000000000060.input,0.10s,10,0.0001380443572998047,2.002716064453125,1,correct
random/000010_000000000100.input,0.09s,10,0.00022554397583007812,1.9550323486328125,1,correct
random/000012_000000000014.input,0.10s,1,2.3126602172851562,1.33514404296875,1,correct
random/000012_000000000036.input,0.09s,10,8.58306884765625,2.3126602172851562,1,correct
random/000012_000000000072.input,0.10s,11,0.00016236305236816406,2.1219253540039062,1,correct
random/000012_000000000120.input,0.09s,11,0.00027108192443847656,4.4345855712890625,1,correct
random/000014_000000000016.input,0.09s,2,2.4557113647460938,1.4543533325195312,1,correct
random/000014_000000000042.input,0.09s,8,9.655952453613281,1.8596649169921875,1,correct
random/000014_000000000084.input,0.10s,13,0.0001900196075439453,2.2172927856445312,1,correct
random/000014_000000000140.input,0.09s,13,0.0003123283386230469,2.3365020751953125,1,correct
random/000016_000000000019.input,0.09s,1,2.5987625122070312,1.3589859008789062,1,correct
random/000016_000000000048.input,0.09s,11,0.00010466575622558594,2.0742416381835938,1,correct
random/000016_000000000096.input,0.09s,15,0.0002319812774658203,2.47955322265625,1,correct
random/000016_000000000160.input,0.10s,15,0.00043487548828125,3.075599670410156,1,correct
random/000018_000000000021.input,0.09s,2,2.7179718017578125,1.52587890625,1,correct
random/000018_000000000054.input,0.10s,11,0.00011038780212402344,2.1219253540039062,1,correct
random/000018_000000000108.input,0.09s,15,0.0002455711364746094,2.47955322265625,1,correct
random/000018_000000000180.input,0.10s,17,0.0004124641418457031,2.6702880859375,1,correct
random/000020_000000000024.input,0.10s,2,3.218650817871094,1.239776611328125,1,correct
random/000020_000000000060.input,0.10s,15,0.00012969970703125,2.47955322265625,1,correct
random/000020_000000000120.input,0.09s,18,0.0002770423889160156,2.6941299438476562,1,correct
random/000020_000000000200.input,0.11s,18,0.000457763671875,2.7179718017578125,1,correct
random/000022_000000000026.input,0.10s,3,3.314018249511719,1.3113021850585938,1,correct
random/000022_000000000066.input,0.10s,15,0.00014162063598632812,2.3603439331054688,1,correct
random/000022_000000000132.input,0.10s,19,0.00030040740966796875,2.7179718017578125,1,correct
random/000022_000000000220.input,0.10s,20,0.0005180835723876953,3.0279159545898438,1,correct
random/000024_000000000028.input,0.09s,4,3.2901763916015625,1.6450881958007812,1,correct
random/000024_000000000072.input,0.09s,12,0.00014519691467285156,2.1696090698242188,1,correct
random/000024_000000000144.input,0.10s,22,0.00033402442932128906,3.147125244140625,1,correct
random/000024_000000000240.input,0.10s,22,0.0005650520324707031,3.0517578125,1,correct
