file,time_in_seconds,kern timing,cplex timing,finished,solution_size_verified
random_small/000002_000000000002.input,0.09s,0,0.0,0.0,1,correct
random_small/000026_000000000260.input,0.10s,25,0.0,0.0,1,correct
random_small/000070_000000000084.input,0.09s,12,0.0,0.0,1,correct
random_small/000085_000000000850.input,0.17s,82,0.0,0.0,1,correct
random_small/000100_000000001000.input,0.12s,96,0.01,0.0,1,correct
random_small/000300_000000003000.input,0.25s,296,0.06,0.0,1,correct
random_small/000400_000000004000.input,0.37s,396,0.13,0.0,1,correct
random_small/000500_000000005000.input,0.58s,498,0.23,0.0,1,correct
random_small/000800_000000008000.input,1.59s,796,0.77,0.0,1,correct
random_small/000900_000000002700.input,1.35s,872,0.24,0.86,1,correct
random_small/001000_000000006000.input,1.16s,989,0.52,0.0,1,correct
dimacs_small/karate.graph.dimacs,0.10s,14,0.0,0.0,1,correct
dimacs_small/dolphins.graph.dimacs,0.10s,34,0.0,0.0,1,correct
dimacs_small/adjnoun.graph.dimacs,0.18s,59,0.0,0.04,1,correct
dimacs_small/polbooks.graph.dimacs,0.15s,62,0.0,0.03,1,correct
dimacs_small/football.graph.dimacs,0.18s,94,0.0,0.06,1,correct
dimacs_small/email.graph.dimacs,0.15s,594,0.02,0.0,1,correct
dimacs_small/uk.graph.dimacs,9.52s,2620,0.29,9.09,1,>>INCORRECT<<
dimacs_small/data.graph.dimacs,1.47s,2161,0.29,1.04,1,correct
dimacs_small/polblogs.graph.dimacs,0.20s,560,0.04,0.0,1,correct
dimacs_small/memplus.graph.dimacs,1.35s,10072,1.0,0.04,1,correct
dimacs_small/fe_sphere.graph.dimacs,219.19s,10924,0.0,218.92,1,correct
dimacs_small/t60k.graph.dimacs,271.62s,30288,7.79,263.32,1,correct
dimacs_small/astro-ph.graph.dimacs,1.32s,10230,0.79,0.06,1,correct
dimacs_small/wing.graph.dimacs,s,,,0,,0
snap_small/as20000102.txt.dimacs,0.33s,1052,0.16,0.0,1,correct
snap_small/email-Eu-core.txt.dimacs,0.29s,579,0.06,0.05,1,correct
snap_small/p2p-Gnutella08.txt.dimacs,0.32s,2054,0.15,0.0,1,correct
snap_small/p2p-Gnutella06.txt.dimacs,0.51s,3405,0.27,0.0,1,correct
snap_small/p2p-Gnutella04.txt.dimacs,0.72s,4348,0.44,0.04,1,correct
snap_small/soc-sign-Slashdot081106.txt.dimacs,58.61s,19614,28.12,0.03,1,correct
snap_small/soc-sign-Slashdot090221.txt.dimacs,66.30s,21314,31.12,0.09,1,correct
snap_small/loc-gowalla_edges.txt.dimacs,273.03s,84222,253.28,11.84,1,correct
snap_small/amazon0302.txt.dimacs,s,,,0,,0
snap_small/com-amazon.ungraph.txt.dimacs,s,,,0,,0
